"name","Signature","value","injection","method"
"D7_40_RE","SBS88",152.232791649031,"normal","Crypt"
"D8_076_AS","SBS88",0,"adenoma","Crypt"
"D9_084_AS","SBS88",0,"adenoma","Crypt"
"HLS_1C_30_B5","SBS88",188.221249505959,"normal","Crypt"
"HLS_1C_30_D5","SBS88",247.693530272871,"normal","Crypt"
"HLS_1C_30_G5","SBS88",291.843427912819,"normal","Crypt"
"HLS_1C_30_H5","SBS88",84.1583764341448,"normal","Crypt"
"HLS_2C_30_D6","SBS88",241.745727513393,"normal","Crypt"
"HLS_2C_30_E6","SBS88",45.863592668873,"normal","Crypt"
"Laurel-1","SBS88",0,"adenoma","Crypt"
"Laurel-10","SBS88",2.30093403208605,"adenoma","Crypt"
"Laurel-11","SBS88",0,"adenoma","Crypt"
"Laurel-12","SBS88",0,"adenoma","Crypt"
"Laurel-2","SBS88",11.1284544366401,"adenoma","Crypt"
"Laurel-3","SBS88",0,"adenoma","Crypt"
"Laurel-5","SBS88",0,"adenoma","Crypt"
"Laurel-6","SBS88",0,"adenoma","Crypt"
"Laurel-7","SBS88",0,"adenoma","Crypt"
"Laurel-8","SBS88",0,"adenoma","Crypt"
"PD28690bx_2_a5","SBS88",0,"normal","Crypt"
"PD28690bx_2_d5","SBS88",0,"normal","Crypt"
"PD28690cb_2_g1","SBS88",0,"normal","Crypt"
"PD28690cb_2_g3","SBS88",37.9230791041838,"normal","Crypt"
"PD28690cb_2_h1","SBS88",0,"normal","Crypt"
"PD28690cb_2_h3","SBS88",67.5224232804438,"normal","Crypt"
"PD34199a_c17","SBS88",0,"normal","Crypt"
"PD34199a_c22","SBS88",0,"normal","Crypt"
"PD34199a_c27","SBS88",0,"normal","Crypt"
"PD34199a_c28","SBS88",0,"normal","Crypt"
"PD34199a_c3","SBS88",0,"normal","Crypt"
"PD34199a_c31","SBS88",0,"normal","Crypt"
"PD34199a_c5","SBS88",0,"normal","Crypt"
"PD34199a_c7","SBS88",0,"normal","Crypt"
"PD34199a_s13","SBS88",0,"normal","Crypt"
"PD34199a_s16","SBS88",0,"normal","Crypt"
"PD34199a_s2","SBS88",0,"normal","Crypt"
"PD34199a_s27","SBS88",0,"normal","Crypt"
"PD34199a_s31","SBS88",0,"normal","Crypt"
"PD34199a_s4","SBS88",0,"normal","Crypt"
"PD34199a_t14","SBS88",0,"normal","Crypt"
"PD34199a_t16","SBS88",0,"normal","Crypt"
"PD34199a_t18","SBS88",0,"normal","Crypt"
"PD34199a_t22","SBS88",0,"normal","Crypt"
"PD34199a_t24","SBS88",0,"normal","Crypt"
"PD34199a_t28","SBS88",0,"normal","Crypt"
"PD34199a_t31","SBS88",0,"normal","Crypt"
"PD34202a_s12","SBS88",20.2006476609263,"normal","Crypt"
"PD34202a_s15","SBS88",0,"normal","Crypt"
"PD34202a_s27","SBS88",6.08572429755588,"normal","Crypt"
"PD34202a_s41","SBS88",9.72535456789536,"normal","Crypt"
"PD34202a_s43","SBS88",26.0716409644323,"normal","Crypt"
"PD34202a_s9","SBS88",8.60114259169353,"normal","Crypt"
"PD36719a_lo005","SBS88",381.798938743428,"normal","Crypt"
"PD36719a_lo008","SBS88",443.184334477902,"normal","Crypt"
"PD36719a_lo018","SBS88",141.271354383066,"normal","Crypt"
"PD36719a_lo022","SBS88",261.135374546514,"normal","Crypt"
"PD36719a_lo034","SBS88",163.416050941664,"normal","Crypt"
"PD36719a_lo048","SBS88",107.12499377303,"normal","Crypt"
"PD36719a_lo049","SBS88",526.154138282211,"normal","Crypt"
"PD36719a_lo066","SBS88",152.89591052427,"normal","Crypt"
"PD36719a_lo072","SBS88",81.8029093806408,"normal","Crypt"
"PD36813aa","SBS88",0,"normal","Crypt"
"PD36813aa11","SBS88",0,"normal","Crypt"
"PD36813aa12","SBS88",0,"normal","Crypt"
"PD36813aa16","SBS88",0,"normal","Crypt"
"PD36813aa2","SBS88",0,"normal","Crypt"
"PD36813aa7","SBS88",0,"normal","Crypt"
"PD36813ab10","SBS88",0,"normal","Crypt"
"PD36813ab4","SBS88",0,"normal","Crypt"
"PD36813ab5","SBS88",0,"normal","Crypt"
"PD36813ac15","SBS88",0,"normal","Crypt"
"PD36813ac18","SBS88",0,"normal","Crypt"
"PD36813ac2","SBS88",0,"normal","Crypt"
"PD36813ac4","SBS88",0,"normal","Crypt"
"PD36813ac7","SBS88",0,"normal","Crypt"
"PD36813ad17","SBS88",0,"normal","Crypt"
"PD36813ad2","SBS88",275.51616193255,"normal","Crypt"
"PD36813ad8","SBS88",0,"normal","Crypt"
"PD36813ad9","SBS88",0,"normal","Crypt"
"PD36813ae","SBS88",0,"normal","Crypt"
"PD36813ae3","SBS88",0,"normal","Crypt"
"PD36813ae7","SBS88",0,"normal","Crypt"
"PD36813b4","SBS88",0,"normal","Crypt"
