"sample","Signature","ID18_refit_coding","injection","method"
"PD36813b4","ID18",0.948265946879744,"normal","Crypt"
"PD36813b5","ID18",0,"normal","Crypt"
"PD36813b6","ID18",1,"normal","Crypt"
"PD36813c","ID18",1,"normal","Crypt"
"PD36813c3","ID18",1,"normal","Crypt"
"PD36813d5","ID18",0,"normal","Crypt"
"PD36813e","ID18",1,"normal","Crypt"
"PD36813e5","ID18",0,"normal","Crypt"
"PD36813g2","ID18",0,"normal","Crypt"
"PD36813g4","ID18",0.9983730518444,"normal","Crypt"
"PD36813h3","ID18",0.841281967625813,"normal","Crypt"
"PD36813i4","ID18",0,"normal","Crypt"
"PD36813j","ID18",1,"normal","Crypt"
"PD36813j3","ID18",0.902933165218469,"normal","Crypt"
"PD36813k3","ID18",1,"normal","Crypt"
"PD36813k5","ID18",0,"normal","Crypt"
"PD36813l","ID18",0.731830263097073,"normal","Crypt"
"PD36813m5","ID18",0,"normal","Crypt"
"PD36813m8","ID18",1,"normal","Crypt"
"PD36813n","ID18",1,"normal","Crypt"
"PD36813q11","ID18",0.976488555716423,"normal","Crypt"
"PD36813r12","ID18",0.939868496509169,"normal","Crypt"
"PD36813r14","ID18",1,"normal","Crypt"
"PD36813s12","ID18",0,"normal","Crypt"
"PD36813t20","ID18",1,"normal","Crypt"
"PD36813u2","ID18",0.867036792033466,"normal","Crypt"
"PD36813v4","ID18",0.939868496509169,"normal","Crypt"
"PD36813x16","ID18",1,"normal","Crypt"
"PD36813y13","ID18",1,"normal","Crypt"
"PD36813y15","ID18",1,"normal","Crypt"
"PD36813y6","ID18",0.595410827155448,"normal","Crypt"
"PD36813y7","ID18",1,"normal","Crypt"
"PD36813z15","ID18",0.998838284693649,"normal","Crypt"
"PD36813z5","ID18",1,"normal","Crypt"
"PD36813z8","ID18",1,"normal","Crypt"
"PD36814b2","ID18",0,"carcinoma","Crypt"
"PD36814b7","ID18",0.948265946879744,"carcinoma","Crypt"
"PD36814c3","ID18",1,"carcinoma","Crypt"
"PD36814d5","ID18",1,"carcinoma","Crypt"
"PD36814d6","ID18",0,"carcinoma","Crypt"
"PD36814d8","ID18",1,"carcinoma","Crypt"
"PD36814e6","ID18",1,"carcinoma","Crypt"
"PD36814e7","ID18",0,"carcinoma","Crypt"
"PD36814e8","ID18",1,"carcinoma","Crypt"
"PD36814g4","ID18",1,"carcinoma","Crypt"
"PD36814g7","ID18",0.939868496509169,"carcinoma","Crypt"
"PD36814g8","ID18",0.949858005432401,"carcinoma","Crypt"
"PD36814i3","ID18",0.921887818199251,"carcinoma","Crypt"
"PD36814k2","ID18",1,"carcinoma","Crypt"
"PD36814k6","ID18",0.995189660577613,"carcinoma","Crypt"
"PD36814k7","ID18",0.998089829160346,"carcinoma","Crypt"
"PD36814k8","ID18",0.841281967625813,"carcinoma","Crypt"
"PD36814l2","ID18",0,"carcinoma","Crypt"
"PD36814m5","ID18",1,"carcinoma","Crypt"
"PD36814m8","ID18",0.948265946879744,"carcinoma","Crypt"
"PD37226b5","ID18",1,"carcinoma","Crypt"
"PD37226b6","ID18",1,"carcinoma","Crypt"
"PD37226c5","ID18",1,"carcinoma","Crypt"
"PD37226c6","ID18",1,"carcinoma","Crypt"
"PD37226c7","ID18",1,"carcinoma","Crypt"
"PD37226c8","ID18",1,"carcinoma","Crypt"
"PD37226d6","ID18",0.750721552596534,"carcinoma","Crypt"
"PD37226e4","ID18",0.936995296056028,"carcinoma","Crypt"
"PD37226f6","ID18",1,"carcinoma","Crypt"
"PD37226f7","ID18",0,"carcinoma","Crypt"
"PD37226g5","ID18",0,"carcinoma","Crypt"
"PD37226g6","ID18",0.948265946879744,"carcinoma","Crypt"
"PD37226g7","ID18",1,"carcinoma","Crypt"
"PD37226h7","ID18",0.984205896885683,"carcinoma","Crypt"
"PD37226i5","ID18",0.948265946879744,"carcinoma","Crypt"
"PD37226i7","ID18",0.931143930572959,"carcinoma","Crypt"
"PD37226j6","ID18",0.949858005432401,"carcinoma","Crypt"
"PD37226j7","ID18",1,"carcinoma","Crypt"
"PD37226j8","ID18",0.974978509467274,"carcinoma","Crypt"
"PD37226k2","ID18",0.948265946879744,"carcinoma","Crypt"
"PD37226k5","ID18",0.00267020716860074,"carcinoma","Crypt"
"PD37226k8","ID18",0,"carcinoma","Crypt"
"PD37226l6","ID18",1,"carcinoma","Crypt"
"PD37226l8","ID18",1,"carcinoma","Crypt"
"PD37226m5","ID18",1,"carcinoma","Crypt"
"PD37226m7","ID18",1,"carcinoma","Crypt"
"PD37226m8","ID18",1,"carcinoma","Crypt"
"PD37226o4","ID18",1,"carcinoma","Crypt"
"PD37226o5","ID18",0.966917404133596,"carcinoma","Crypt"
"PD37265b","ID18",0,"carcinoma","Crypt"
"PD37265b7","ID18",1,"carcinoma","Crypt"
"PD37265c2","ID18",0,"carcinoma","Crypt"
"PD37265c5","ID18",1,"carcinoma","Crypt"
"PD37265d8","ID18",1,"carcinoma","Crypt"
"PD37265e","ID18",0,"carcinoma","Crypt"
"PD37265e5","ID18",1,"carcinoma","Crypt"
"PD37265f2","ID18",0.948265946879744,"carcinoma","Crypt"
"PD37265f4","ID18",1,"carcinoma","Crypt"
"PD37265g6","ID18",1,"carcinoma","Crypt"
"PD37265h8","ID18",1,"carcinoma","Crypt"
"PD37265i2","ID18",0.949858005432401,"carcinoma","Crypt"
"PD37265k","ID18",0,"carcinoma","Crypt"
"PD37265k2","ID18",1,"carcinoma","Crypt"
"PD37265l2","ID18",1,"carcinoma","Crypt"
"PD37265m3","ID18",0,"carcinoma","Crypt"
"PD37265m4","ID18",1,"carcinoma","Crypt"
"PD37266b_lo0005","ID18",0.998184589599,"normal","Crypt"
"PD37266b_lo0006","ID18",1,"normal","Crypt"
"PD37266b_lo0007","ID18",0.922667652394483,"normal","Crypt"
"PD37266b_lo0017","ID18",1,"normal","Crypt"
"PD37266c_lo0010","ID18",1,"normal","Crypt"
"PD37266c_lo0016","ID18",1,"normal","Crypt"
"PD37266c_lo0018","ID18",1,"normal","Crypt"
"PD37266d_lo0012","ID18",1,"normal","Crypt"
"PD37266e_lo0008","ID18",1,"normal","Crypt"
"PD37449c_lo0001","ID18",0,"normal","Crypt"
"PD37449c_lo0009","ID18",1,"normal","Crypt"
"PD37449c_lo0014","ID18",0.948265946879744,"normal","Crypt"
"PD37449c_lo0017","ID18",1,"normal","Crypt"
"PD37449d_lo0001","ID18",1,"normal","Crypt"
"PD37449d_lo0002","ID18",0.998838284693649,"normal","Crypt"
"PD37449d_lo0006","ID18",1,"normal","Crypt"
"PD37449d_lo0011","ID18",0.949858005432401,"normal","Crypt"
"PD37449d_lo0012","ID18",1,"normal","Crypt"
"PD37449d_lo0017","ID18",1,"normal","Crypt"
"PD37449e_lo0003","ID18",1,"normal","Crypt"
"PD37449e_lo0004","ID18",0.948265946879744,"normal","Crypt"
"PD37449e_lo0010","ID18",1,"normal","Crypt"
"PD37449e_lo0015","ID18",1,"normal","Crypt"
"PD37449f_lo0008","ID18",0.948265946879744,"normal","Crypt"
"PD37449f_lo0011","ID18",1,"normal","Crypt"
"PD37449f_lo0016","ID18",1,"normal","Crypt"
"PD37449f_lo0022","ID18",0,"normal","Crypt"
"PD37457e6","ID18",0,"carcinoma","Crypt"
