"name","Signature","value","injection","method"
"D25_029_RE","ID18",0.656827231030768,"adenoma","Crypt"
"D26_084_SI","ID18",0.61799985677235,"adenoma","Crypt"
"D27_074_SI","ID18",0.556274983823217,"adenoma","Crypt"
"D29_030_AS","ID18",0.318798797953091,"adenoma","Crypt"
"D30_029_AS","ID18",0.55397207447957,"adenoma","Crypt"
"D31_031_DE","ID18",0.609613473308768,"adenoma","Crypt"
"D32_076_CE","ID18",0.532887356194549,"adenoma","Crypt"
"D33_076_DE","ID18",0.99776426223832,"adenoma","Crypt"
"D4_19_TR","ID18",0.300568340401489,"adenoma","Crypt"
"D6_84_RE","ID18",0.901856648786504,"adenoma","Crypt"
"D7_40_RE","ID18",0.781878127820702,"normal","Crypt"
"D8_076_AS","ID18",0.574920407446525,"adenoma","Crypt"
"D9_084_AS","ID18",0.843017276019474,"adenoma","Crypt"
"HLS_1C_30_B5","ID18",0.591734917572518,"normal","Crypt"
"HLS_1C_30_D5","ID18",0.75197205914415,"normal","Crypt"
"HLS_1C_30_G5","ID18",0.660114571953478,"normal","Crypt"
"HLS_1C_30_H5","ID18",0.679806851373963,"normal","Crypt"
"HLS_2C_30_D6","ID18",0.665367859308081,"normal","Crypt"
"HLS_2C_30_E6","ID18",0.665635724562518,"normal","Crypt"
"Laurel-1","ID18",0.669712263170096,"adenoma","Crypt"
"Laurel-10","ID18",0.718057054827694,"adenoma","Crypt"
"Laurel-11","ID18",1,"adenoma","Crypt"
"Laurel-12","ID18",0.521489890893561,"adenoma","Crypt"
"Laurel-2","ID18",0.461791663905218,"adenoma","Crypt"
"Laurel-3","ID18",0.525331085645677,"adenoma","Crypt"
"Laurel-5","ID18",0.668050268772536,"adenoma","Crypt"
"Laurel-6","ID18",0,"adenoma","Crypt"
"Laurel-7","ID18",0.748692920413166,"adenoma","Crypt"
"Laurel-8","ID18",0.689280417710996,"adenoma","Crypt"
"PD28690bx_2_a5","ID18",0.59792737423276,"normal","Crypt"
"PD28690bx_2_d5","ID18",0.678911612686916,"normal","Crypt"
"PD28690cb_2_g1","ID18",0.758169771691945,"normal","Crypt"
"PD28690cb_2_g3","ID18",0.601835069083382,"normal","Crypt"
"PD28690cb_2_h1","ID18",0.578691513131636,"normal","Crypt"
"PD28690cb_2_h3","ID18",0.733672128222339,"normal","Crypt"
"PD34199a_c17","ID18",0.832951016537312,"normal","Crypt"
"PD34199a_c22","ID18",0.546365992121182,"normal","Crypt"
"PD34199a_c27","ID18",0.523395376547965,"normal","Crypt"
"PD34199a_c28","ID18",0.59656776318941,"normal","Crypt"
"PD34199a_c3","ID18",0.49816389138241,"normal","Crypt"
"PD34199a_c31","ID18",0.657107677326131,"normal","Crypt"
"PD34199a_c5","ID18",0.575205251642848,"normal","Crypt"
"PD34199a_c7","ID18",0.879268808320687,"normal","Crypt"
"PD34199a_s13","ID18",0.513566742587215,"normal","Crypt"
"PD34199a_s16","ID18",0.501472544802562,"normal","Crypt"
"PD34199a_s2","ID18",0.499176357913772,"normal","Crypt"
"PD34199a_s27","ID18",0.508571416149062,"normal","Crypt"
"PD34199a_s31","ID18",0.55744687318267,"normal","Crypt"
"PD34199a_s4","ID18",0.418514668127536,"normal","Crypt"
"PD34199a_t14","ID18",0.580375883877008,"normal","Crypt"
"PD34199a_t16","ID18",0.626252834637178,"normal","Crypt"
"PD34199a_t18","ID18",0.841162296618922,"normal","Crypt"
"PD34199a_t22","ID18",0.329327904547916,"normal","Crypt"
"PD34199a_t24","ID18",0.589272102353404,"normal","Crypt"
"PD34199a_t28","ID18",0.39152333026213,"normal","Crypt"
"PD34199a_t31","ID18",0.627600444340974,"normal","Crypt"
"PD34202a_s12","ID18",0.926864559109663,"normal","Crypt"
"PD34202a_s15","ID18",0.75709035410979,"normal","Crypt"
"PD34202a_s27","ID18",0.815912881851471,"normal","Crypt"
"PD34202a_s41","ID18",0.865617781920596,"normal","Crypt"
"PD34202a_s43","ID18",0.719379916131274,"normal","Crypt"
"PD34202a_s9","ID18",0.70817038034545,"normal","Crypt"
"PD36719a_lo005","ID18",0.985090277744213,"normal","Crypt"
"PD36719a_lo008","ID18",0.983515025223639,"normal","Crypt"
"PD36719a_lo018","ID18",0.850173045117074,"normal","Crypt"
"PD36719a_lo022","ID18",0.897578299716053,"normal","Crypt"
"PD36719a_lo034","ID18",0.95536335352862,"normal","Crypt"
"PD36719a_lo048","ID18",0.83948030483448,"normal","Crypt"
"PD36719a_lo049","ID18",0.895690656717396,"normal","Crypt"
"PD36719a_lo066","ID18",0.928773091480317,"normal","Crypt"
"PD36719a_lo072","ID18",0.979971718067837,"normal","Crypt"
"PD36813aa","ID18",0.640226681606509,"normal","Crypt"
"PD36813aa11","ID18",0.502191560931546,"normal","Crypt"
"PD36813aa12","ID18",0.534477902666249,"normal","Crypt"
"PD36813aa16","ID18",0.642940627261886,"normal","Crypt"
"PD36813aa2","ID18",0.460926943084036,"normal","Crypt"
"PD36813aa7","ID18",0.4390248554746,"normal","Crypt"
"PD36813ab10","ID18",0.50929882043077,"normal","Crypt"
"PD36813ab4","ID18",0.364726255733653,"normal","Crypt"
"PD36813ab5","ID18",0.523429540590915,"normal","Crypt"
"PD36813ac15","ID18",0.757718438020125,"normal","Crypt"
"PD36813ac18","ID18",0.440799425829965,"normal","Crypt"
"PD36813ac2","ID18",0.606190257760689,"normal","Crypt"
"PD36813ac4","ID18",0.693713756139653,"normal","Crypt"
"PD36813ac7","ID18",0.601252528615771,"normal","Crypt"
"PD36813ad17","ID18",0.628355007778036,"normal","Crypt"
"PD36813ad2","ID18",0.800016096891661,"normal","Crypt"
"PD36813ad8","ID18",0.541856559156244,"normal","Crypt"
"PD36813ad9","ID18",0.682463187260449,"normal","Crypt"
"PD36813ae","ID18",0.516193312501637,"normal","Crypt"
"PD36813ae3","ID18",0.629892582398459,"normal","Crypt"
"PD36813ae7","ID18",0.610499631753429,"normal","Crypt"
"PD36813b4","ID18",0.753815523655985,"normal","Crypt"
"PD36813b5","ID18",0.818985613667289,"normal","Crypt"
"PD36813b6","ID18",0.845357178445396,"normal","Crypt"
"PD36813c","ID18",0.774004682987144,"normal","Crypt"
"PD36813c2","ID18",0.726681219531529,"normal","Crypt"
"PD36813c3","ID18",0.571044340931882,"normal","Crypt"
