"sample","Signature","SBS88_refit_genic","injection","method"
"D33_076_DE","SBS88",0,"adenoma","Crypt"
"D4_19_TR","SBS88",0,"adenoma","Crypt"
"D6_84_RE","SBS88",0.297033173146711,"adenoma","Crypt"
"D7_40_RE","SBS88",0.168178925041177,"normal","Crypt"
"D8_076_AS","SBS88",0,"adenoma","Crypt"
"D9_084_AS","SBS88",0,"adenoma","Crypt"
"HLS_1C_30_B5","SBS88",0.0766680675684249,"normal","Crypt"
"HLS_1C_30_D5","SBS88",0.10894375390287,"normal","Crypt"
"HLS_1C_30_G5","SBS88",0.128729419323957,"normal","Crypt"
"HLS_1C_30_H5","SBS88",0.0703362351519543,"normal","Crypt"
"HLS_2C_30_D6","SBS88",0.153397081497881,"normal","Crypt"
"HLS_2C_30_E6","SBS88",0.0203814418122342,"normal","Crypt"
"Laurel-1","SBS88",0.00926100943867578,"adenoma","Crypt"
"Laurel-10","SBS88",0.0216074858117163,"adenoma","Crypt"
"Laurel-11","SBS88",0,"adenoma","Crypt"
"Laurel-12","SBS88",0,"adenoma","Crypt"
"Laurel-2","SBS88",0.00433271462398577,"adenoma","Crypt"
"Laurel-3","SBS88",0,"adenoma","Crypt"
"Laurel-5","SBS88",0.0323949624008622,"adenoma","Crypt"
"Laurel-6","SBS88",0.0077135350600893,"adenoma","Crypt"
"Laurel-7","SBS88",0,"adenoma","Crypt"
"Laurel-8","SBS88",0,"adenoma","Crypt"
"PD28690bx_2_a5","SBS88",0,"normal","Crypt"
"PD28690bx_2_d5","SBS88",0,"normal","Crypt"
"PD28690cb_2_g1","SBS88",0,"normal","Crypt"
"PD28690cb_2_g3","SBS88",0.0302785341811728,"normal","Crypt"
"PD28690cb_2_h1","SBS88",0,"normal","Crypt"
"PD28690cb_2_h3","SBS88",0.0482465842624459,"normal","Crypt"
"PD34199a_c17","SBS88",0,"normal","Crypt"
"PD34199a_c22","SBS88",0,"normal","Crypt"
"PD34199a_c27","SBS88",0,"normal","Crypt"
"PD34199a_c28","SBS88",0,"normal","Crypt"
"PD34199a_c3","SBS88",0,"normal","Crypt"
"PD34199a_c31","SBS88",0,"normal","Crypt"
"PD34199a_c5","SBS88",0,"normal","Crypt"
"PD34199a_c7","SBS88",0,"normal","Crypt"
"PD34199a_s13","SBS88",0,"normal","Crypt"
"PD34199a_s16","SBS88",0,"normal","Crypt"
"PD34199a_s2","SBS88",0,"normal","Crypt"
"PD34199a_s27","SBS88",0,"normal","Crypt"
"PD34199a_s31","SBS88",0,"normal","Crypt"
"PD34199a_s4","SBS88",0,"normal","Crypt"
"PD34199a_t14","SBS88",0,"normal","Crypt"
"PD34199a_t16","SBS88",0,"normal","Crypt"
"PD34199a_t18","SBS88",0,"normal","Crypt"
"PD34199a_t22","SBS88",0,"normal","Crypt"
"PD34199a_t24","SBS88",0,"normal","Crypt"
"PD34199a_t28","SBS88",0,"normal","Crypt"
"PD34199a_t31","SBS88",0,"normal","Crypt"
"PD34202a_s12","SBS88",0.103632690540532,"normal","Crypt"
"PD34202a_s15","SBS88",0,"normal","Crypt"
"PD34202a_s27","SBS88",0.0722317000006166,"normal","Crypt"
"PD34202a_s41","SBS88",0.120400072264124,"normal","Crypt"
"PD34202a_s43","SBS88",0.133973055058399,"normal","Crypt"
"PD34202a_s9","SBS88",0.0577667280723334,"normal","Crypt"
"PD36719a_lo005","SBS88",0.376931999250815,"normal","Crypt"
"PD36719a_lo008","SBS88",0.393313241466601,"normal","Crypt"
"PD36719a_lo018","SBS88",0.0974961888149289,"normal","Crypt"
"PD36719a_lo022","SBS88",0.171037105596966,"normal","Crypt"
"PD36719a_lo034","SBS88",0.0855111595172837,"normal","Crypt"
"PD36719a_lo048","SBS88",0.0543581862024626,"normal","Crypt"
"PD36719a_lo049","SBS88",0.408762622619434,"normal","Crypt"
"PD36719a_lo066","SBS88",0.124942293310837,"normal","Crypt"
"PD36719a_lo072","SBS88",0.0933494227753349,"normal","Crypt"
"PD36813aa","SBS88",0,"normal","Crypt"
"PD36813aa11","SBS88",0,"normal","Crypt"
"PD36813aa12","SBS88",0,"normal","Crypt"
"PD36813aa16","SBS88",0,"normal","Crypt"
"PD36813aa2","SBS88",0,"normal","Crypt"
"PD36813aa7","SBS88",0,"normal","Crypt"
"PD36813ab10","SBS88",0,"normal","Crypt"
"PD36813ab4","SBS88",0,"normal","Crypt"
"PD36813ab5","SBS88",0,"normal","Crypt"
"PD36813ac15","SBS88",0,"normal","Crypt"
"PD36813ac18","SBS88",0,"normal","Crypt"
"PD36813ac2","SBS88",0,"normal","Crypt"
"PD36813ac4","SBS88",0,"normal","Crypt"
"PD36813ac7","SBS88",0,"normal","Crypt"
"PD36813ad17","SBS88",0,"normal","Crypt"
"PD36813ad2","SBS88",0.173277739951816,"normal","Crypt"
"PD36813ad8","SBS88",0,"normal","Crypt"
"PD36813ad9","SBS88",0,"normal","Crypt"
"PD36813ae","SBS88",0,"normal","Crypt"
"PD36813ae3","SBS88",0,"normal","Crypt"
"PD36813ae7","SBS88",0,"normal","Crypt"
"PD36813b4","SBS88",0,"normal","Crypt"
"PD36813b5","SBS88",0,"normal","Crypt"
"PD36813b6","SBS88",0,"normal","Crypt"
"PD36813c","SBS88",0,"normal","Crypt"
"PD36813c2","SBS88",0,"normal","Crypt"
"PD36813c3","SBS88",0,"normal","Crypt"
"PD36813d3","SBS88",0,"normal","Crypt"
"PD36813d5","SBS88",0,"normal","Crypt"
"PD36813e","SBS88",0,"normal","Crypt"
"PD36813e5","SBS88",0,"normal","Crypt"
"PD36813e6","SBS88",0,"normal","Crypt"
