"sample","n_with_driver_gene_coding","driver_coding_snv","n_with_driver_gene_id","driver_gene_id","n_with_driver_gene_snv","driver_genes_snv","total_coding_indels","in_pks_motif_coding","fraction_pksmotif_coding","total_indels_genic","in_pks_motif_genic","fraction_pksmotif_genic","n_AA_genic","n_with_gene_snv","Signature.x","ID18_refit_coding","injection.x","method.x","Signature.y","ID18_refit_genic","injection.y","method.y","Signature.x","SBS88_refit_coding","injection.x","method.x","Signature.y","SBS88_refit_genic","injection.y","method.y","n_AA_coding","n_with_coding_snv"
"33_130AS",0,"0",0,"0",8,"CAMTA1;CTNNA2;FHIT;EPHA3;CSMD3;ATM;ARID2;DCC",3,0,0,79,12,0.151898734177215,15,403,"ID18",0.999276196386323,"normal","Crypt","ID18",0.578181280723041,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"40_AS",0,"0",3,"CTNNA2;FHIT;CSMD3",4,"ALK;FBXW7;ETV1;FAT3",1,0,0,98,10,0.102040816326531,22,501,"ID18",1,"normal","Crypt","ID18",0.634191785503119,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"58_DC",0,"0",1,"DCC",8,"LRP1B;ERBB4;CTNNB1;EGFR;CSMD3;ARID2;GRIN2A;DCC",0,0,0,62,17,0.274193548387097,18,316,"0",0,"0","0","ID18",0.255401655116609,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0285727609167565,"normal","Crypt",0,0
"58_TR",0,"0",0,"0",1,"ARID1B",0,0,0,55,12,0.218181818181818,24,307,"0",0,"0","0","ID18",0.448438389577021,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0430977187481534,"normal","Crypt",1,16
"74_DC",0,"0",0,"0",3,"ALK;FAT3;DCC",2,0,0,49,23,0.469387755102041,20,282,"ID18",0.551018525326574,"adenoma","Crypt","ID18",0.485057969294992,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0596975016555617,"adenoma","Crypt",0,0
"A1__031_AS",0,"0",1,"CSMD3",6,"ALK;ARID1B;ETV1;FGFR2;CDH11;DCC",0,0,0,42,10,0.238095238095238,16,443,"0",0,"0","0","ID18",0.520839850644233,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"A10__180_DC",0,"0",0,"0",3,"FHIT;ANK1;GRIN2A",2,0,0,70,13,0.185714285714286,26,512,"ID18",0.00263319900133099,"normal","Crypt","ID18",0.494881460858014,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.00629406033972292,"normal","Crypt",1,23
"A13__148_AS",1,"CTNNA2",0,"0",5,"CTNNA2;ERBB4;FHIT;CSMD3;DCC",0,0,0,31,3,0.0967741935483871,11,277,"0",0,"0","0","ID18",0.669395644007197,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"A15__180_TR",0,"0",0,"0",3,"IL7R;ETV1;AKAP9",4,0,0,60,5,0.0833333333333333,10,633,"ID18",1,"normal","Crypt","ID18",0.717548625961439,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",2,33
"A16__084_CE",0,"0",1,"FOXP1",4,"CAMTA1;AKAP9;FGFR2;ATM",2,0,0,39,2,0.0512820512820513,9,423,"ID18",0.838646610313175,"adenoma","Crypt","ID18",0.692659795360226,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"A2__148_CE",0,"0",2,"LRP1B;EPHA3",2,"ARID1A;CTNNA2",0,0,0,45,12,0.266666666666667,17,261,"0",0,"0","0","ID18",0.544241019449548,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0131640933418423,"normal","Crypt",1,12
"A5__074_AS",0,"0",0,"0",8,"CTNNA2;LRP1B;LEF1;ARID1B;CSMD3;FAT3",0,0,0,41,11,0.268292682926829,12,429,"0",0,"0","0","ID18",0.186238953054093,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"A6__103_CE",0,"0",0,"0",10,"DNMT3A;ALK;LRP1B;FHIT;CSMD3;GRIN2A;DCC",1,0,0,59,13,0.220338983050847,14,559,"ID18",1,"normal","Crypt","ID18",0.447540840165191,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"A7__116_DC",1,"BIRC6",0,"0",7,"CTNNA2;LRP1B;ERBB4;EPHA3;ARID1B;CLTCL1",4,0,0,68,9,0.132352941176471,17,571,"ID18",0.474437289146934,"adenoma","Crypt","ID18",0.490910602233968,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"A8__093_SI",1,"CDK12",0,"0",6,"ALK;CTNNA2;LRP1B;CDK12;DCC",0,0,0,75,8,0.106666666666667,22,584,"0",0,"0","0","ID18",0.743740606417513,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"A9_09_CE",0,"0",0,"0",3,"FHIT;FOXO3;KMT2C",0,0,0,55,9,0.163636363636364,11,343,"0",0,"0","0","ID18",0.462673951326809,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"B1_115_SI",1,"CLTCL1",0,"0",8,"ALK;LRP1B;ARID1B;ETV1;CSMD3;GNAQ;FAT3",0,0,0,59,10,0.169491525423729,36,569,"0",0,"0","0","ID18",0.51508884266213,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0481466516358781,"adenoma","Crypt",0,0
"B10_058_CE",0,"0",0,"0",4,"CAMTA1;FHIT;FAT4;CSMD3",0,0,0,54,13,0.240740740740741,16,265,"0",0,"0","0","ID18",0.42723673114806,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"B12_180_AS",0,"0",0,"0",6,"CTNNA2;EPHA3;BRAF;CDK12;DCC",3,0,0,76,13,0.171052631578947,21,605,"ID18",1,"normal","Crypt","ID18",0.496571622490847,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"B13_148_DC",1,"LRP1B",0,"0",3,"LRP1B;CSMD3;GNAQ",0,0,0,54,16,0.296296296296296,25,408,"0",0,"0","0","ID18",0.441084446763269,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0590490180268987,"normal","Crypt",0,0
"B14_031_CE",0,"0",0,"0",8,"CAMTA1;ALK;LRP1B;FHIT;FAT4;GRIN2A",0,0,0,82,11,0.134146341463415,22,529,"0",0,"0","0","ID18",0.62684873926976,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"B15_148_RE",0,"0",1,"FAT3",7,"LRP1B;CSMD3;GNAQ;DCC;ERG",1,1,1,119,70,0.588235294117647,74,358,"ID18",1,"normal","Crypt","ID18",0.862739131297309,"normal","Crypt","SBS88",0.203432330620324,"normal","Crypt","SBS88",0.363507280167039,"normal","Crypt",2,19
"B17_277_DC",1,"DROSHA",0,"0",5,"CTNNA2;LRP1B;ERBB4",1,0,0,75,20,0.266666666666667,53,491,"ID18",1,"normal","Crypt","ID18",0.755706717773066,"normal","Crypt","SBS88",0.100523019489779,"normal","Crypt","SBS88",0.205277718625753,"normal","Crypt",1,13
"B18_115_TC",0,"0",0,"0",2,"CTNNA2;CLTCL1",1,0,0,57,3,0.0526315789473684,20,386,"ID18",0,"adenoma","Crypt","ID18",0.604792852704113,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",2,17
"B19_277_TC",0,"0",1,"CSMD3",9,"CAMTA1;ALK;LRP1B;CSMD3;CDH11;DCC",2,0,0,83,23,0.27710843373494,42,519,"ID18",0.152486957239913,"normal","Crypt","ID18",0.645614107334525,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.110445913024628,"normal","Crypt",1,17
"B2_116_RE",0,"0",1,"CTNNA2",4,"CTNNA2;LRP1B;AXIN2",1,0,0,95,51,0.536842105263158,72,491,"ID18",0.949858005432401,"adenoma","Crypt","ID18",0.87028883962119,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.211256495784774,"adenoma","Crypt",2,18
"B20_273_CE",0,"0",2,"BCOR;BCORL1",10,"CAMTA1;ALK;LRP1B;ERBB4;FHIT;ETV1;CSMD3;GNAQ;GRIN2A",3,0,0,75,9,0.12,18,441,"ID18",0.384197383896593,"normal","Crypt","ID18",0.427869413769883,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",1,15
"B21_153_CE",0,"0",3,"BIRC6;GNAQ;AXIN2",7,"ALK;LRP1B;ARID1B;CSMD3",2,0,0,104,35,0.336538461538462,49,605,"ID18",0,"normal","Crypt","ID18",0.488310793022197,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0587520900381345,"normal","Crypt",1,29
"B22_93_TR",1,"EPHA3",0,"0",6,"FHIT;FAT4;CTNND1;GRIN2A;DCC",1,0,0,89,11,0.123595505617978,23,605,"ID18",1,"adenoma","Crypt","ID18",0.327285055381771,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",2,19
"B23_153_RE",1,"LRP1B",1,"LRP1B",8,"BIRC6;FHIT;KMT2C;CSMD3;ERG",2,0,0,103,47,0.456310679611651,139,626,"ID18",0.140393548218985,"normal","Crypt","ID18",0.769668706556614,"normal","Crypt","SBS88",0.0756956806625192,"normal","Crypt","SBS88",0.364035060956752,"normal","Crypt",3,22
"B26_115_DC",0,"0",1,"CTNNA2",5,"ALK;FAT4;ARID1B;KMT2C;CREBBP",1,0,0,56,10,0.178571428571429,27,455,"ID18",1,"adenoma","Crypt","ID18",0.688869611956893,"adenoma","Crypt","SBS88",0.622650355709476,"adenoma","Crypt","SBS88",0.0307593812263642,"adenoma","Crypt",4,11
"B27_116_AS",1,"FAT4",1,"ARID1A",7,"LRP1B;ERBB4;CSMD3;FAT3",1,0,0,85,16,0.188235294117647,31,551,"ID18",1,"adenoma","Crypt","ID18",0.524839911439323,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0113608854788307,"adenoma","Crypt",1,27
"B28_31_TR",0,"0",1,"ETV1",4,"ARID1B;CSMD3;FAM135B",2,0,0,63,3,0.0476190476190476,12,443,"ID18",0.997446746596881,"adenoma","Crypt","ID18",0.753363014841895,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"B29_09_AS",0,"0",1,"CTNNA2",10,"LRP1B;FAT4;CSMD3;CDKN2A;GNAQ;DCC",0,0,0,76,13,0.171052631578947,26,562,"0",0,"0","0","ID18",0.646822866820614,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"B3_084_DC",0,"0",3,"CTNNA2;ERBB4;CCND3",6,"ALK;LRP1B;GNAQ;ERBB2;DCC",2,0,0,62,14,0.225806451612903,17,492,"ID18",1,"adenoma","Crypt","ID18",0.431299387543225,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",1,20
"B32_93_AS",0,"0",1,"BRAF",5,"LRP1B;ERBB4;EPHA3;FAT4;FAT3",1,0,0,90,7,0.0777777777777778,23,678,"ID18",1,"adenoma","Crypt","ID18",0.343704542544679,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"B33_153_AS",0,"0",0,"0",4,"BIRC6;LRP1B;FHIT;CSMD3",0,0,0,91,25,0.274725274725275,54,574,"0",0,"0","0","ID18",0.685061301056713,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.105656785963935,"normal","Crypt",1,22
"B35_130_TR",0,"0",0,"0",9,"CAMTA1;ALK;ERBB4;LEF1;BRAF;ANK1;CSMD3;CHD2;DCC",0,0,0,75,7,0.0933333333333333,22,514,"0",0,"0","0","ID18",0.305956531184427,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"B38_180_SI",0,"0",0,"0",6,"ALK;CTNNA2;FHIT;DCC",0,0,0,56,14,0.25,32,466,"0",0,"0","0","ID18",0.654543932900327,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"B39_277_CE",1,"CSMD3",1,"CTNNA2",7,"FHIT;FAT4;BRAF;ANK1;CSMD3",0,0,0,63,24,0.380952380952381,35,376,"0",0,"0","0","ID18",0.821856358957107,"normal","Crypt","SBS88",0.00128584006186337,"normal","Crypt","SBS88",0.140219587374045,"normal","Crypt",0,0
"B4_076_SI",1,"BCL9L",2,"ALK;EPHA3",8,"ALK;LRP1B;ERBB4;EPHA3;IRF4;BRAF;CSMD3",2,0,0,81,6,0.0740740740740741,21,503,"ID18",0,"adenoma","Crypt","ID18",0.411822309513722,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",1,18
"B41_277_AC",1,"EPHA3",1,"CTNNA2",6,"DDR2;CTNNA2;EPHA3;CSMD3;FAT3;DCC",1,0,0,80,18,0.225,27,473,"ID18",0.140393548218985,"normal","Crypt","ID18",0.611239142250088,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0586945657098926,"normal","Crypt",1,11
"B42_277_RTM",0,"0",0,"0",5,"ALK;LRP1B;FAT4;DCC",0,0,0,110,44,0.4,88,554,"0",0,"0","0","ID18",0.82618170894438,"normal","Crypt","SBS88",0.149882845855121,"normal","Crypt","SBS88",0.207845863852264,"normal","Crypt",3,18
"B43_273_AS",0,"0",1,"LRP1B",14,"LRP1B;ERBB4;FHIT;FAT4;CSMD3;CHD2;GRIN2A;DCC",1,0,0,90,21,0.233333333333333,16,412,"ID18",0,"normal","Crypt","ID18",0.352278573313484,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",1,18
"B44_273_TR",0,"0",2,"CTNNA2;FGFR2",7,"DNMT3A;ALK;LRP1B;GRIN2A;DCC",1,0,0,86,13,0.151162790697674,13,398,"ID18",0.140393548218985,"normal","Crypt","ID18",0.361931796146662,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"B45_273_SI",0,"0",0,"0",4,"LRP1B;ACVR1;CSMD3;DCC",2,1,0.5,90,31,0.344444444444444,35,430,"ID18",0,"normal","Crypt","ID18",0.547496963788628,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.027623360040452,"normal","Crypt",0,0
"B46_273_DE",0,"0",2,"ACVR1;EPHA7",8,"LRP1B;FHIT;FAT4;BRAF;CSMD3;COL2A1",5,0,0,87,22,0.252873563218391,17,360,"ID18",0.989337850896947,"normal","Crypt","ID18",0.386841936810581,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",1,17
"B47_273_RE",0,"0",2,"LRP1B;ERBB4",8,"CAMTA1;ALK;CTNNA2;LRP1B;FOXP1;FAT3;DCC",1,0,0,102,14,0.137254901960784,18,641,"ID18",0,"normal","Crypt","ID18",0.444585486971266,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",1,28
"B5_031_RE",0,"0",0,"0",6,"LRP1B;KMT2C;CSMD3;FAT3;ERBB2;KDM6A",1,0,0,68,13,0.191176470588235,40,457,"ID18",0.948265946879744,"adenoma","Crypt","ID18",0.921947872369197,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0458783744194853,"adenoma","Crypt",1,21
"B6_153_SI",0,"0",2,"ALK;LRP1B",14,"ASXL2;ALK;CTNNA2;LRP1B;CASP8;IDH1;ERBB4;ARID1B;GRIN2A;CDK12;CLTCL1;BCOR",2,0,0,108,20,0.185185185185185,21,1735,"ID18",1,"normal","Crypt","ID18",0.445536538218763,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"B7_030_DC",0,"0",0,"0",6,"LRP1B;ERBB4;FHIT;CSMD3",1,0,0,62,7,0.112903225806452,16,557,"ID18",1,"adenoma","Crypt","ID18",0.645287102361107,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"B8_103_SI",2,"CHD4;CDH11",1,"ALK",11,"CAMTA1;CTNNA2;LRP1B;EPHA7;ARID1B;DCC",0,0,0,74,19,0.256756756756757,29,538,"0",0,"0","0","ID18",0.586963823226822,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.0248047221422994,"normal","Crypt",1,17
"B9_115_RE",0,"0",2,"LRP1B;GRIN2A",7,"LRP1B;ERBB4;FHIT;FBXW7;FGFR2;DCC",1,0,0,79,32,0.40506329113924,54,460,"ID18",0,"adenoma","Crypt","ID18",0.81816219104342,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0910674893691266,"adenoma","Crypt",3,19
"C1_103_TR",0,"0",1,"FAT4",8,"CAMTA1;CTNNA2;LRP1B;CSMD3;GNAQ;GRIN2A",1,0,0,68,6,0.0882352941176471,20,623,"ID18",0.140393548218985,"normal","Crypt","ID18",0.199386949750729,"normal","Crypt","SBS88",0.0443048338641351,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"C10_93_CE",0,"0",0,"0",11,"CAMTA1;ARID1A;CTNNA2;LRP1B;ERBB4;CCND3;CSMD3;FAM135B;FAT3",1,0,0,67,10,0.149253731343284,20,1036,"ID18",0.995889654992844,"adenoma","Crypt","ID18",0.449928508177789,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"C14_115_TR",1,"GNAS",0,"0",17,"CAMTA1;BIRC6;CTNNA2;LRP1B;ERBB4;FOXP1;EPHA3;FAM135B;GNAQ;FAT3;GNAS",3,0,0,62,5,0.0806451612903226,24,639,"ID18",1,"adenoma","Crypt","ID18",0.748847287123925,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"C15_277_TR",0,"0",0,"0",7,"CAMTA1;CTNNA2;FOXP1;COL2A1;CDH11;DCC",0,0,0,5,0,0,5,836,"0",0,"0","0","ID18",0.618156803688171,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"C16_180_CE",0,"0",1,"LCP1",4,"FIP1L1;CSMD3;DCC;ASXL1",0,0,0,86,9,0.104651162790698,35,544,"0",0,"0","0","ID18",0.483222508752979,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"C17_93_AS",0,"0",0,"0",6,"ALK;FOXP1;EPHA3;APC;EGFR;CSMD3",0,0,0,35,3,0.0857142857142857,8,443,"0",0,"0","0","ID18",0.475492619057153,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"C18_277_DE",1,"FBXW7",2,"LRP1B;ATM",8,"ALK;CTNNA2;ERBB4;FBXW7;BRAF;KMT2C;GNAQ",0,0,0,67,21,0.313432835820896,43,420,"0",0,"0","0","ID18",0.893588432231998,"normal","Crypt","SBS88",0.114507930721455,"normal","Crypt","SBS88",0.145915028228001,"normal","Crypt",0,0
"C22_19_SI",0,"0",0,"0",13,"CTNNA2;LRP1B;ERBB4;FHIT;EGFR;CSMD3;DCC",1,0,0,49,8,0.163265306122449,22,907,"ID18",0.995889654992844,"adenoma","Crypt","ID18",0.496954725109916,"adenoma","Crypt","SBS88",0.00833502036706316,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",1,29
"C24_31_TR",0,"0",0,"0",10,"CTNNA2;LRP1B;CCND3;CSMD3;FGFR2;CTNND1;FAT3;DCC;CLTCL1",0,0,0,53,10,0.188679245283019,19,639,"0",0,"0","0","ID18",0.732059742262567,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
