"name","total_indels","in_pks_motif","fraction_pksmotif","injection","method"
"D24_093_RE",227,12,0.230769230769231,"adenoma","Crypt"
"D25_029_RE",52,12,0.285714285714286,"adenoma","Crypt"
"D26_084_SI",42,12,0.244897959183673,"adenoma","Crypt"
"D27_074_SI",49,12,0.127659574468085,"adenoma","Crypt"
"D29_030_AS",94,29,0.190789473684211,"adenoma","Crypt"
"D30_029_AS",95,10,0.105263157894737,"adenoma","Crypt"
"D31_031_DE",112,19,0.169642857142857,"adenoma","Crypt"
"D32_076_CE",46,9,0.195652173913043,"adenoma","Crypt"
"D33_076_DE",4,0,0,"adenoma","Crypt"
"D4_19_TR",89,7,0.0786516853932584,"adenoma","Crypt"
"D6_84_RE",184,109,0.592391304347826,"adenoma","Crypt"
"D7_40_RE",112,47,0.419642857142857,"normal","Crypt"
"D8_076_AS",103,11,0.106796116504854,"adenoma","Crypt"
"D9_084_AS",67,2,0.0298507462686567,"adenoma","Crypt"
"Laurel-1",110,15,0.136363636363636,"adenoma","Crypt"
"Laurel-10",114,16,0.140350877192982,"adenoma","Crypt"
"Laurel-11",5,0,0,"adenoma","Crypt"
"Laurel-12",80,10,0.125,"adenoma","Crypt"
"Laurel-2",100,11,0.11,"adenoma","Crypt"
"Laurel-3",105,8,0.0761904761904762,"adenoma","Crypt"
"Laurel-5",21,2,0.0952380952380952,"adenoma","Crypt"
"Laurel-6",3,0,0,"adenoma","Crypt"
"Laurel-7",84,8,0.0952380952380952,"adenoma","Crypt"
"Laurel-8",78,7,0.0897435897435897,"adenoma","Crypt"
