"name","n_AA","n_with_gene"
"PD36814b2",25,424
"PD36814b7",55,624
"PD36814c2",14,363
"PD36814c3",23,463
"PD36814c4",19,357
"PD36814d5",9,350
"PD36814d6",5,332
"PD36814d7",9,326
"PD36814d8",15,325
"PD36814e5",22,434
"PD36814e6",31,816
"PD36814e7",9,473
"PD36814e8",29,798
"PD36814f4",20,444
"PD36814f8",14,526
"PD36814g4",15,440
"PD36814g7",24,608
"PD36814g8",24,627
"PD36814h2",7,393
"PD36814h4",13,385
"PD36814i",17,378
"PD36814i3",4,377
"PD36814i4",10,328
"PD36814k2",17,415
"PD36814k6",11,423
"PD36814k7",11,434
"PD36814k8",13,414
"PD36814l2",17,395
"PD36814l4",7,328
"PD36814l7",23,530
"PD36814l8",18,461
"PD36814m5",71,854
"PD36814m8",80,1234
"PD37226b5",124,487
"PD37226b6",153,509
"PD37226c5",37,237
"PD37226c6",48,316
"PD37226c7",85,332
"PD37226c8",103,385
"PD37226d4",19,262
"PD37226d5",17,186
"PD37226d6",15,321
"PD37226e4",43,336
"PD37226e5",36,441
"PD37226f5",21,295
"PD37226f6",23,267
"PD37226f7",23,359
"PD37226g5",34,320
"PD37226g6",53,406
"PD37226g7",86,484
"PD37226h4",31,414
"PD37226h7",56,471
"PD37226h8",50,481
"PD37226i5",12,241
"PD37226i6",16,318
"PD37226i7",18,450
"PD37226i8",9,290
"PD37226j4",57,898
"PD37226j5",76,872
"PD37226j6",102,1128
"PD37226j7",116,1290
"PD37226j8",87,1152
"PD37226k2",23,372
"PD37226k5",20,377
"PD37226k6",33,455
"PD37226k8",27,400
"PD37226l5",21,291
"PD37226l6",20,251
"PD37226l7",18,212
"PD37226l8",29,353
"PD37226m5",19,402
"PD37226m7",17,420
"PD37226m8",18,423
"PD37226o4",234,2926
"PD37226o5",180,2129
"PD37226p7",170,1923
"PD37265b",113,695
"PD37265b7",45,442
"PD37265c2",8,254
"PD37265c3",13,283
"PD37265c5",39,415
"PD37265d",15,319
"PD37265d5",9,277
"PD37265d8",11,246
"PD37265e",12,526
"PD37265e5",26,592
"PD37265f",13,355
"PD37265f2",22,440
"PD37265f4",21,365
"PD37265g6",15,544
"PD37265g7",11,398
"PD37265g8",10,375
"PD37265h5",19,454
"PD37265h6",41,422
"PD37265h8",21,388
"PD37265i2",11,272
"PD37265i7",9,309
"PD37265k",17,351
"PD37265k2",11,357
"PD37265k3",19,393
"PD37265l2",15,403
"PD37265l6",12,317
"PD37265m3",106,1624
"PD37265m4",141,1678
"PD37266b_lo0004",27,430
"PD37266b_lo0005",11,465
"PD37266b_lo0006",12,343
"PD37266b_lo0007",15,422
"PD37266b_lo0008",17,398
"PD37266b_lo0017",10,338
"PD37266b_lo0023",13,319
"PD37266c_lo0010",38,347
"PD37266c_lo0012",22,371
"PD37266c_lo0014",35,391
"PD37266c_lo0016",25,403
"PD37266c_lo0018",20,321
"PD37266c_lo0023",3,104
"PD37266d_lo0002",3,208
"PD37266d_lo0010",25,363
"PD37266d_lo0012",11,221
"PD37266d_lo0014",17,339
"PD37266e_lo0008",9,397
"PD37266e_lo0010",6,161
"PD37449c_lo0001",206,479
"PD37449c_lo0009",145,394
"PD37449c_lo0014",139,356
"PD37449c_lo0017",123,341
"PD37449d_lo0001",112,293
"PD37449d_lo0002",128,344
"PD37449d_lo0003",95,270
"PD37449d_lo0006",114,276
"PD37449d_lo0011",41,240
"PD37449d_lo0012",49,199
"PD37449d_lo0017",123,328
"PD37449e_lo0002",4,145
"PD37449e_lo0003",5,167
"PD37449e_lo0004",4,203
"PD37449e_lo0006",28,182
"PD37449e_lo0008",136,396
"PD37449e_lo0010",85,291
"PD37449e_lo0014",8,122
"PD37449e_lo0015",2,114
"PD37449f_lo0002",16,229
"PD37449f_lo0006",7,216
"PD37449f_lo0008",4,96
"PD37449f_lo0010",2,65
"PD37449f_lo0011",6,136
"PD37449f_lo0016",11,233
"PD37449f_lo0017",13,182
"PD37449f_lo0019",6,140
"PD37449f_lo0022",14,181
"PD37449f_lo0023",4,88
"PD37457b4",2,136
"PD37457c4",14,328
"PD37457e6",20,551
"PD37457f4",23,507
"PD37457f7",10,345
"PD37457g5",23,446
"PD37457h2",8,250
"PD37457h5",17,393
"PD37457i4",16,528
"PD37457i5",14,281
"PD37457j7",23,360
"PD37457j8",12,308
"PD37509b8",38,222
"PD37509b9",26,255
"PD37510b4",15,71
"PD37510b7",26,120
"PD37510b8",23,99
"PD37512a11",83,584
"PD37512a4",14,520
"PD37512a5",14,494
"PD37512b7",32,577
"PD37513a13",29,298
"PD37513a2",66,485
"PD37513a20",18,331
"PD37513a21",22,344
"PD37513a3",92,516
"PD37513b5",6,203
"PD37513b7",21,400
"PD37513b8",32,385
"PD37514a",12,446
"PD37514a2",10,476
"PD37514a3",15,478
"PD37514b3",15,387
"PD37514b7",17,440
"PD37514b8",7,210
"PD37590b_lo0010",7,274
"PD37590b_lo0015",11,337
"PD37590b_lo0018",13,284
"PD37590b_lo0030",9,334
"PD37590b_lo0033",13,333
"PD37590b_lo0041",12,360
"PD37590b_lo0051",8,351
"PD37590b_lo0052",4,296
"PD37590b_lo0053",12,476
"PD37590b_lo0058",7,268
"PD37590b_lo0074",11,250
"PD37590b_lo0075",11,369
"PD37590b_lo0090",1,249
"PD37590b_lo0092",14,389
"PD37590b_lo0107",8,279
"PD37590b_lo0116",12,352
"PD37590b_lo0117",7,247
"PD37590c_lo0001",5,268
"PD37590c_lo0005",10,255
"PD37590c_lo0009",5,289
"PD37590c_lo0019",8,225
"PD37590c_lo0021",11,284
"PD37590c_lo0025",12,213
"PD37590c_lo0032",8,320
"PD37590c_lo0034",10,282
"PD37590c_lo0040",8,282
"PD37590c_lo0048",11,265
"PD37590d_lo0012",15,369
