"","total_indels","in_pks_motif","fraction_pksmotif"
"PD36813y7",57,15,0.263157894736842
"PD36813z15",50,5,0.1
"PD36813z4",57,4,0.0701754385964912
"PD36813z5",55,11,0.2
"PD36813z6",38,6,0.157894736842105
"PD36813z7",43,1,0.0232558139534884
"PD36813z8",39,3,0.0769230769230769
"PD36814b2",45,9,0.2
"PD36814b7",77,10,0.12987012987013
"PD36814c2",48,5,0.104166666666667
"PD36814c3",53,11,0.207547169811321
"PD36814c4",29,7,0.241379310344828
"PD36814d5",36,4,0.111111111111111
"PD36814d6",25,1,0.04
"PD36814d7",37,5,0.135135135135135
"PD36814d8",43,1,0.0232558139534884
"PD36814e5",33,2,0.0606060606060606
"PD36814e6",121,4,0.0330578512396694
"PD36814e7",41,3,0.0731707317073171
"PD36814e8",107,3,0.0280373831775701
"PD36814f4",37,4,0.108108108108108
"PD36814f8",51,4,0.0784313725490196
"PD36814g4",48,3,0.0625
"PD36814g7",64,4,0.0625
"PD36814g8",52,1,0.0192307692307692
"PD36814h2",25,5,0.2
"PD36814h4",30,4,0.133333333333333
"PD36814i",45,2,0.0444444444444444
"PD36814i3",43,2,0.0465116279069767
"PD36814i4",48,2,0.0416666666666667
"PD36814k2",50,4,0.08
"PD36814k6",44,3,0.0681818181818182
"PD36814k7",48,5,0.104166666666667
"PD36814k8",53,4,0.0754716981132075
"PD36814l2",37,3,0.0810810810810811
"PD36814l4",33,3,0.0909090909090909
"PD36814l7",58,4,0.0689655172413793
"PD36814l8",45,1,0.0222222222222222
"PD36814m5",51,6,0.117647058823529
"PD36814m8",83,11,0.132530120481928
"PD37226b5",117,75,0.641025641025641
"PD37226b6",117,74,0.632478632478632
"PD37226c5",51,30,0.588235294117647
"PD37226c6",109,82,0.752293577981651
"PD37226c7",149,104,0.697986577181208
"PD37226c8",162,118,0.728395061728395
"PD37226d4",46,16,0.347826086956522
"PD37226d5",32,7,0.21875
"PD37226d6",54,9,0.166666666666667
"PD37226e4",79,42,0.531645569620253
"PD37226e5",68,34,0.5
"PD37226f5",47,13,0.276595744680851
"PD37226f6",49,14,0.285714285714286
"PD37226f7",51,11,0.215686274509804
"PD37226g5",60,34,0.566666666666667
"PD37226g6",74,38,0.513513513513513
"PD37226g7",87,49,0.563218390804598
"PD37226h4",62,26,0.419354838709677
"PD37226h7",66,26,0.393939393939394
"PD37226h8",82,44,0.536585365853659
"PD37226i5",34,11,0.323529411764706
"PD37226i6",36,6,0.166666666666667
"PD37226i7",47,5,0.106382978723404
"PD37226i8",47,6,0.127659574468085
"PD37226j4",66,14,0.212121212121212
"PD37226j5",88,29,0.329545454545455
"PD37226j6",75,15,0.2
"PD37226j7",101,25,0.247524752475248
"PD37226j8",126,29,0.23015873015873
"PD37226k2",58,12,0.206896551724138
"PD37226k5",61,8,0.131147540983607
"PD37226k6",46,7,0.152173913043478
"PD37226k8",70,16,0.228571428571429
"PD37226l5",45,7,0.155555555555556
"PD37226l6",43,15,0.348837209302326
"PD37226l7",24,6,0.25
"PD37226l8",41,12,0.292682926829268
"PD37226m5",51,7,0.137254901960784
"PD37226m7",58,10,0.172413793103448
"PD37226m8",55,9,0.163636363636364
"PD37226o4",128,15,0.1171875
"PD37226o5",125,9,0.072
"PD37226p7",117,30,0.256410256410256
"PD37265b",96,38,0.395833333333333
"PD37265b7",63,19,0.301587301587302
"PD37265c2",26,0,0
"PD37265c3",37,1,0.027027027027027
"PD37265c5",61,20,0.327868852459016
"PD37265d",23,2,0.0869565217391304
"PD37265d5",45,1,0.0222222222222222
"PD37265d8",33,4,0.121212121212121
"PD37265e",92,6,0.0652173913043478
"PD37265e5",126,3,0.0238095238095238
"PD37265f",35,3,0.0857142857142857
"PD37265f2",38,2,0.0526315789473684
"PD37265f4",36,2,0.0555555555555556
"PD37265g6",63,4,0.0634920634920635
"PD37265g7",38,3,0.0789473684210526
"PD37265g8",49,2,0.0408163265306122
"PD37265h5",45,7,0.155555555555556
"PD37265h6",53,10,0.188679245283019
"PD37265h8",41,6,0.146341463414634
"PD37265i2",31,2,0.0645161290322581
"PD37265i7",29,1,0.0344827586206897
"PD37265k",32,2,0.0625
"PD37265k2",32,5,0.15625
"PD37265k3",48,2,0.0416666666666667
"PD37265l2",43,1,0.0232558139534884
"PD37265l6",40,0,0
"PD37265m3",74,10,0.135135135135135
"PD37265m4",97,10,0.103092783505155
"PD37266b_lo0004",59,8,0.135593220338983
"PD37266b_lo0005",57,9,0.157894736842105
"PD37266b_lo0006",45,7,0.155555555555556
"PD37266b_lo0007",41,7,0.170731707317073
"PD37266b_lo0008",46,13,0.282608695652174
"PD37266b_lo0017",55,9,0.163636363636364
"PD37266b_lo0023",23,3,0.130434782608696
"PD37266c_lo0010",69,38,0.550724637681159
"PD37266c_lo0012",57,26,0.456140350877193
"PD37266c_lo0014",65,28,0.430769230769231
"PD37266c_lo0016",63,24,0.380952380952381
"PD37266c_lo0018",55,28,0.509090909090909
"PD37266c_lo0023",13,3,0.230769230769231
"PD37266d_lo0002",17,4,0.235294117647059
"PD37266d_lo0010",45,15,0.333333333333333
"PD37266d_lo0012",29,3,0.103448275862069
"PD37266d_lo0014",35,9,0.257142857142857
"PD37266e_lo0008",50,4,0.08
"PD37266e_lo0010",23,4,0.173913043478261
"PD37449c_lo0001",168,114,0.678571428571429
"PD37449c_lo0009",146,98,0.671232876712329
"PD37449c_lo0014",112,71,0.633928571428571
"PD37449c_lo0017",102,66,0.647058823529412
"PD37449d_lo0001",148,101,0.682432432432432
"PD37449d_lo0002",134,102,0.761194029850746
"PD37449d_lo0003",101,74,0.732673267326733
"PD37449d_lo0006",139,102,0.733812949640288
"PD37449d_lo0011",49,24,0.489795918367347
"PD37449d_lo0012",50,22,0.44
"PD37449d_lo0017",119,94,0.789915966386555
"PD37449e_lo0001",17,0,0
"PD37449e_lo0002",15,4,0.266666666666667
"PD37449e_lo0003",18,1,0.0555555555555556
"PD37449e_lo0004",25,4,0.16
"PD37449e_lo0006",41,15,0.365853658536585
"PD37449e_lo0008",144,107,0.743055555555556
"PD37449e_lo0010",102,63,0.617647058823529
"PD37449e_lo0014",32,7,0.21875
"PD37449e_lo0015",26,0,0
"PD37449f_lo0002",35,9,0.257142857142857
"PD37449f_lo0006",23,0,0
"PD37449f_lo0008",16,2,0.125
"PD37449f_lo0010",6,0,0
"PD37449f_lo0011",24,6,0.25
"PD37449f_lo0016",33,5,0.151515151515152
"PD37449f_lo0017",40,10,0.25
"PD37449f_lo0019",24,4,0.166666666666667
"PD37449f_lo0022",38,6,0.157894736842105
"PD37449f_lo0023",12,0,0
"PD37457b4",12,2,0.166666666666667
"PD37457c4",36,4,0.111111111111111
"PD37457e6",68,3,0.0441176470588235
"PD37457f4",52,5,0.0961538461538462
"PD37457f7",33,5,0.151515151515152
"PD37457g5",49,9,0.183673469387755
"PD37457h2",29,2,0.0689655172413793
"PD37457h5",39,4,0.102564102564103
"PD37457i4",45,4,0.0888888888888889
"PD37457i5",28,3,0.107142857142857
"PD37457j7",58,12,0.206896551724138
"PD37457j8",34,9,0.264705882352941
"PD37509b8",46,21,0.456521739130435
"PD37509b9",30,9,0.3
"PD37510b4",14,7,0.5
"PD37510b7",28,17,0.607142857142857
"PD37510b8",24,22,0.916666666666667
"PD37512a11",109,51,0.467889908256881
"PD37512a4",59,4,0.0677966101694915
"PD37512a5",47,5,0.106382978723404
"PD37512b7",53,9,0.169811320754717
"PD37513a13",38,10,0.263157894736842
"PD37513a2",80,33,0.4125
"PD37513a20",48,10,0.208333333333333
"PD37513a21",34,8,0.235294117647059
"PD37513a3",102,55,0.53921568627451
"PD37513b5",25,1,0.04
"PD37513b7",56,12,0.214285714285714
"PD37513b8",47,15,0.319148936170213
"PD37514a",50,5,0.1
"PD37514a2",43,2,0.0465116279069767
"PD37514a3",55,11,0.2
"PD37514b3",37,2,0.0540540540540541
"PD37514b7",51,4,0.0784313725490196
"PD37514b8",20,1,0.05
"PD37590b_lo0010",42,3,0.0714285714285714
"PD37590b_lo0015",61,1,0.0163934426229508
"PD37590b_lo0018",51,5,0.0980392156862745
"PD37590b_lo0030",61,7,0.114754098360656
"PD37590b_lo0033",54,0,0
"PD37590b_lo0041",55,2,0.0363636363636364
"PD37590b_lo0051",64,3,0.046875
"PD37590b_lo0052",55,3,0.0545454545454545
"PD37590b_lo0053",73,5,0.0684931506849315
"PD37590b_lo0058",46,2,0.0434782608695652
"PD37590b_lo0074",51,3,0.0588235294117647
"PD37590b_lo0075",67,4,0.0597014925373134
"PD37590b_lo0090",34,5,0.147058823529412
"PD37590b_lo0092",76,6,0.0789473684210526
"PD37590b_lo0107",55,4,0.0727272727272727
"PD37590b_lo0116",52,5,0.0961538461538462
"PD37590b_lo0117",41,3,0.0731707317073171
"PD37590c_lo0001",59,5,0.0847457627118644
"PD37590c_lo0005",38,1,0.0263157894736842
"PD37590c_lo0009",45,2,0.0444444444444444
"PD37590c_lo0019",43,2,0.0465116279069767
"PD37590c_lo0021",50,4,0.08
"PD37590c_lo0025",37,5,0.135135135135135
"PD37590c_lo0032",64,5,0.078125
"PD37590c_lo0034",46,5,0.108695652173913
"PD37590c_lo0040",53,4,0.0754716981132075
"PD37590c_lo0048",47,2,0.0425531914893617
"PD37590d_lo0012",62,7,0.112903225806452
